DaysSinceDetection,LineageBroad_BoostTiterGroup,low_ct1,cond__,effect1__,effect2__,estimate__,se__,lower__,upper__,LineageBroad,BoostTiterGroup,Detection group
8.333333333333334,OtherLowNotBoosted,0.288,1,8.333333333333334,OtherLowNotBoosted,0.16504605356789426,0.06743301635701096,0.06520224349845552,0.33692431496931996,Other,Not Boosted: ≤250 AU/ml,Frequent testing
8.585858585858587,DeltaHighBoosted,0.288,1,8.585858585858587,DeltaHighBoosted,0.8689460556985069,0.0927451505836574,0.6368190730948345,0.9874867139273157,Delta,Boosted: >250 AU/ml,Frequent testing
8.585858585858587,DeltaHighNotBoosted,0.288,1,8.585858585858587,DeltaHighNotBoosted,0.7391982711401106,0.19250880740271345,0.26286290958258096,0.9602596295824065,Delta,Not Boosted: >250 AU/ml,Frequent testing
8.585858585858587,DeltaLowBoosted,0.288,1,8.585858585858587,DeltaLowBoosted,0.9941416899607407,0.007857164214341664,0.8876485632600899,0.9999686986482509,Delta,Boosted: ≤250 AU/ml,Frequent testing
8.585858585858587,DeltaLowNotBoosted,0.288,1,8.585858585858587,DeltaLowNotBoosted,0.34927749942141684,0.1025083905562854,0.1793212470713506,0.555429126192681,Delta,Not Boosted: ≤250 AU/ml,Frequent testing
8.585858585858587,OmicronHighBoosted,0.288,1,8.585858585858587,OmicronHighBoosted,0.3232152356109867,0.03477268484837747,0.26105071631041166,0.39604294825431197,Omicron,Boosted: >250 AU/ml,Frequent testing
8.585858585858587,OmicronHighNotBoosted,0.288,1,8.585858585858587,OmicronHighNotBoosted,0.1576186062574858,0.04376172740120268,0.08450885651464624,0.2526589541498744,Omicron,Not Boosted: >250 AU/ml,Frequent testing
8.585858585858587,OmicronLowBoosted,0.288,1,8.585858585858587,OmicronLowBoosted,0.4754367580114611,0.03415618747870082,0.4064767847968978,0.5418751790752734,Omicron,Boosted: ≤250 AU/ml,Frequent testing
8.585858585858587,OmicronLowNotBoosted,0.288,1,8.585858585858587,OmicronLowNotBoosted,0.17590847674713062,0.05732720490029199,0.08437256169841297,0.30309053826351173,Omicron,Not Boosted: ≤250 AU/ml,Frequent testing
8.585858585858587,OtherHighNotBoosted,0.288,1,8.585858585858587,OtherHighNotBoosted,0.3890900226906391,0.05605722326012201,0.27715206187095903,0.5007228146784892,Other,Not Boosted: >250 AU/ml,Frequent testing
8.585858585858587,OtherLowNotBoosted,0.288,1,8.585858585858587,OtherLowNotBoosted,0.15958166808330168,0.06629535431600188,0.06242653427283368,0.3271851963672984,Other,Not Boosted: ≤250 AU/ml,Frequent testing
8.83838383838384,DeltaHighBoosted,0.288,1,8.83838383838384,DeltaHighBoosted,0.8608242039918377,0.09688438713327423,0.6183345110019123,0.9848686190101299,Delta,Boosted: >250 AU/ml,Frequent testing
8.83838383838384,DeltaHighNotBoosted,0.288,1,8.83838383838384,DeltaHighNotBoosted,0.7203230624799162,0.2006505528208977,0.24352943987977682,0.9560209905538944,Delta,Not Boosted: >250 AU/ml,Frequent testing
8.83838383838384,DeltaLowBoosted,0.288,1,8.83838383838384,DeltaLowBoosted,0.9930938750657585,0.00915063169067355,0.8815409766295178,0.9999537560911195,Delta,Boosted: ≤250 AU/ml,Frequent testing
